,Date,ESI,station
525,6/11/13,-2.3541021,2113:AL:SCAN
526,6/11/13,-9999,2174:AL:SCAN
527,6/11/13,-9999,2055:AL:SCAN
528,6/11/13,0.73563737,2173:AL:SCAN
529,6/11/13,-9999,2180:AL:SCAN
530,6/11/13,-9999,2114:AL:SCAN
531,6/11/13,1.2126704,2178:AL:SCAN
532,6/11/13,-9999,2181:AL:SCAN
533,6/11/13,0.13416961,2182:AL:SCAN
534,6/11/13,-9999,2176:AL:SCAN
535,6/11/13,-1.6765609,2056:AL:SCAN
536,6/11/13,0.7795615,2179:AL:SCAN
537,6/11/13,-9999,2115:AL:SCAN
538,6/11/13,-9999,2175:AL:SCAN
539,6/11/13,-2.340473,2053:AL:SCAN
540,1/1/13,-9999,2057:AL:SCAN
541,1/1/13,-9999,2078:AL:SCAN
542,1/1/13,-0.5706142,2177:AL:SCAN
543,1/1/13,-9999,2113:AL:SCAN
544,1/1/13,-2.22592,2174:AL:SCAN
545,1/1/13,-9999,2055:AL:SCAN
546,1/1/13,-9999,2173:AL:SCAN
547,1/1/13,1.2154374,2180:AL:SCAN
548,1/1/13,-9999,2114:AL:SCAN
549,1/1/13,2.0005314,2178:AL:SCAN
550,1/1/13,2.507607,2181:AL:SCAN
551,1/1/13,0.7956558,2182:AL:SCAN
552,1/1/13,-9999,2176:AL:SCAN
553,1/1/13,-9999,2056:AL:SCAN
554,1/1/13,-3.0289428,2179:AL:SCAN
555,1/1/13,-9999,2115:AL:SCAN
556,1/1/13,0.49800965,2175:AL:SCAN
557,1/1/13,-9999,2053:AL:SCAN
558,4/23/13,1.4797031,2057:AL:SCAN
559,4/23/13,1.0950953,2078:AL:SCAN
