,ESI,Latitude,Longitude,Date,StationTriplet
298,0.832,31.10923,-87.55277,2001-04-23,2181:AL:SCAN
299,-0.04,31.01912,-85.03693,2001-04-23,2182:AL:SCAN
300,0.337,32.40392,-86.89137,2001-04-23,2176:AL:SCAN
301,1.828,34.43333,-86.68333,2001-04-23,2056:AL:SCAN
302,0.65,34.17973,-87.45618,2001-04-23,2179:AL:SCAN
303,0.575,32.43455,-85.74802,2001-04-23,2115:AL:SCAN
304,-0.09,33.33168,-85.51818,2001-04-23,2175:AL:SCAN
305,0.276,34.9,-86.53333,2001-04-23,2053:AL:SCAN
306,-0.006,34.78333,-86.55,2001-04-30,2057:AL:SCAN
307,-0.504,34.89375,-86.60236,2001-04-30,2078:AL:SCAN
308,-0.842,32.28393,-86.05253,2001-04-30,2177:AL:SCAN
309,-0.053,34.19492,-86.79897,2001-04-30,2113:AL:SCAN
310,0.592,33.10768,-88.31003,2001-04-30,2174:AL:SCAN
311,0.557,34.4448,-86.16557,2001-04-30,2055:AL:SCAN
312,0.678,34.81982,-87.98685,2001-04-30,2173:AL:SCAN
313,-2.612,30.5238,-87.69797,2001-04-30,2180:AL:SCAN
314,-0.455,32.608,-88.19743,2001-04-30,2114:AL:SCAN
315,-0.367,32.41222,-85.91028,2001-04-30,2178:AL:SCAN
316,-1.226,31.10923,-87.55277,2001-04-30,2181:AL:SCAN
317,-1.541,31.01912,-85.03693,2001-04-30,2182:AL:SCAN
318,-0.971,32.40392,-86.89137,2001-04-30,2176:AL:SCAN
319,0.0,34.43333,-86.68333,2001-04-30,2056:AL:SCAN
320,0.256,34.17973,-87.45618,2001-04-30,2179:AL:SCAN
321,-0.454,32.43455,-85.74802,2001-04-30,2115:AL:SCAN
323,-1.008,34.9,-86.53333,2001-04-30,2053:AL:SCAN
324,-0.543,34.78333,-86.55,2001-05-07,2057:AL:SCAN
325,-0.66,34.89375,-86.60236,2001-05-07,2078:AL:SCAN
326,-0.04,32.28393,-86.05253,2001-05-07,2177:AL:SCAN
327,-1.158,34.19492,-86.79897,2001-05-07,2113:AL:SCAN
329,0.59,34.4448,-86.16557,2001-05-07,2055:AL:SCAN
330,-0.634,34.81982,-87.98685,2001-05-07,2173:AL:SCAN
331,-0.723,30.5238,-87.69797,2001-05-07,2180:AL:SCAN
332,-0.841,32.608,-88.19743,2001-05-07,2114:AL:SCAN
333,0.632,32.41222,-85.91028,2001-05-07,2178:AL:SCAN
335,0.771,31.01912,-85.03693,2001-05-07,2182:AL:SCAN
336,0.402,32.40392,-86.89137,2001-05-07,2176:AL:SCAN
337,-0.001,34.43333,-86.68333,2001-05-07,2056:AL:SCAN
338,0.403,34.17973,-87.45618,2001-05-07,2179:AL:SCAN
339,0.301,32.43455,-85.74802,2001-05-07,2115:AL:SCAN
341,0.819,34.9,-86.53333,2001-05-07,2053:AL:SCAN
343,0.612,34.89375,-86.60236,2001-05-14,2078:AL:SCAN
344,-0.943,32.28393,-86.05253,2001-05-14,2177:AL:SCAN
345,-0.15,34.19492,-86.79897,2001-05-14,2113:AL:SCAN
348,1.094,34.81982,-87.98685,2001-05-14,2173:AL:SCAN
349,-0.629,30.5238,-87.69797,2001-05-14,2180:AL:SCAN
350,-0.539,32.608,-88.19743,2001-05-14,2114:AL:SCAN
351,-0.316,32.41222,-85.91028,2001-05-14,2178:AL:SCAN
353,1.585,31.01912,-85.03693,2001-05-14,2182:AL:SCAN
354,0.016,32.40392,-86.89137,2001-05-14,2176:AL:SCAN
355,0.782,34.43333,-86.68333,2001-05-14,2056:AL:SCAN
356,0.872,34.17973,-87.45618,2001-05-14,2179:AL:SCAN
357,-0.219,32.43455,-85.74802,2001-05-14,2115:AL:SCAN
358,-0.638,33.33168,-85.51818,2001-05-14,2175:AL:SCAN
359,1.48,34.9,-86.53333,2001-05-14,2053:AL:SCAN
360,-0.532,34.78333,-86.55,2001-05-21,2057:AL:SCAN
361,-0.616,34.89375,-86.60236,2001-05-21,2078:AL:SCAN
362,-0.884,32.28393,-86.05253,2001-05-21,2177:AL:SCAN
363,-0.585,34.19492,-86.79897,2001-05-21,2113:AL:SCAN
365,-1.492,34.4448,-86.16557,2001-05-21,2055:AL:SCAN
366,-0.149,34.81982,-87.98685,2001-05-21,2173:AL:SCAN
367,-0.649,30.5238,-87.69797,2001-05-21,2180:AL:SCAN
368,-0.343,32.608,-88.19743,2001-05-21,2114:AL:SCAN
369,-0.658,32.41222,-85.91028,2001-05-21,2178:AL:SCAN
370,-1.277,31.10923,-87.55277,2001-05-21,2181:AL:SCAN
371,0.227,31.01912,-85.03693,2001-05-21,2182:AL:SCAN
372,-1.574,32.40392,-86.89137,2001-05-21,2176:AL:SCAN
373,-0.011,34.43333,-86.68333,2001-05-21,2056:AL:SCAN
374,-0.71,34.17973,-87.45618,2001-05-21,2179:AL:SCAN
375,0.17,32.43455,-85.74802,2001-05-21,2115:AL:SCAN
377,-1.372,34.9,-86.53333,2001-05-21,2053:AL:SCAN
378,0.258,34.78333,-86.55,2001-05-28,2057:AL:SCAN
379,0.418,34.89375,-86.60236,2001-05-28,2078:AL:SCAN
380,-0.077,32.28393,-86.05253,2001-05-28,2177:AL:SCAN
381,-1.341,34.19492,-86.79897,2001-05-28,2113:AL:SCAN
382,-1.211,33.10768,-88.31003,2001-05-28,2174:AL:SCAN
384,-1.637,34.81982,-87.98685,2001-05-28,2173:AL:SCAN
385,0.143,30.5238,-87.69797,2001-05-28,2180:AL:SCAN
386,-2.64,32.608,-88.19743,2001-05-28,2114:AL:SCAN
387,-0.437,32.41222,-85.91028,2001-05-28,2178:AL:SCAN
388,1.296,31.10923,-87.55277,2001-05-28,2181:AL:SCAN
389,-0.05,31.01912,-85.03693,2001-05-28,2182:AL:SCAN
390,-0.788,32.40392,-86.89137,2001-05-28,2176:AL:SCAN
391,-1.734,34.43333,-86.68333,2001-05-28,2056:AL:SCAN
392,-1.45,34.17973,-87.45618,2001-05-28,2179:AL:SCAN
393,0.056,32.43455,-85.74802,2001-05-28,2115:AL:SCAN
395,-0.135,34.9,-86.53333,2001-05-28,2053:AL:SCAN
396,2.34,34.78333,-86.55,2001-06-04,2057:AL:SCAN
397,1.178,34.89375,-86.60236,2001-06-04,2078:AL:SCAN
402,0.441,34.81982,-87.98685,2001-06-04,2173:AL:SCAN
404,2.961,32.608,-88.19743,2001-06-04,2114:AL:SCAN
405,-0.761,32.41222,-85.91028,2001-06-04,2178:AL:SCAN
406,-0.045,31.10923,-87.55277,2001-06-04,2181:AL:SCAN
407,1.113,31.01912,-85.03693,2001-06-04,2182:AL:SCAN
408,-0.138,32.40392,-86.89137,2001-06-04,2176:AL:SCAN
411,0.228,32.43455,-85.74802,2001-06-04,2115:AL:SCAN
412,1.257,33.33168,-85.51818,2001-06-04,2175:AL:SCAN
413,1.066,34.9,-86.53333,2001-06-04,2053:AL:SCAN
414,1.63,34.78333,-86.55,2001-06-11,2057:AL:SCAN
415,1.165,34.89375,-86.60236,2001-06-11,2078:AL:SCAN
425,1.484,31.01912,-85.03693,2001-06-11,2182:AL:SCAN
