Date,ESI,station,week_x,week_y,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM
2011-10-29,-1.06,2176:AL:SCAN,43,43,-0.5219145155984105,-1.1820877756920645,-1.7449148217011154,-1.6969040579558319,-1.6155792929850836
2011-11-05,-1.213,2176:AL:SCAN,44,44,-0.8841404887550309,-1.4921465443875748,-1.7160243893993716,-1.4646177022515614,-1.507684138863956
2011-11-12,-0.001,2176:AL:SCAN,45,45,-0.19420587367339662,-1.022382553932717,-1.6968071133855374,-1.6320878522450546,-1.1945156612694292
2012-07-22,1.034,2176:AL:SCAN,29,29,0.6020481805196941,0.7583499986942773,-1.3953364208795602,-1.0886982963932519,-0.777765243082709
2012-11-04,-0.569,2176:AL:SCAN,44,44,0.8634297346149548,0.534783268488228,-0.24284222959210439,-0.7512442049172374,-0.7576412222547753
2012-11-18,-0.758,2176:AL:SCAN,46,46,0.33183168376735256,-0.3396425602336288,-1.1755722224452656,-1.2500017923478095,-0.3064995205965533
2012-11-25,-0.238,2176:AL:SCAN,47,47,0.33354358931618205,-0.39238441407521346,-1.1438075642123935,-1.2828071801781444,-0.9224561599565512
2012-12-02,0.087,2176:AL:SCAN,48,48,-0.11318463252258676,-0.7363984314980578,-1.6124278618929997,-1.5778208021311007,-0.9527693171094245
2012-12-09,-0.196,2176:AL:SCAN,49,49,-1.4298917031616574,-2.1514078308921563,-2.1448186337478856,-1.9120795589454103,-1.6769953353063582
2012-12-16,0.092,2176:AL:SCAN,50,50,0.15365149433479455,-0.48428960615758526,-0.7366295514037973,-1.6500871346718256,-1.6017591404781784
2012-12-23,-2.306,2176:AL:SCAN,51,51,1.0688392774476123,0.28168566748775775,0.020457293002781943,-0.5405838961464244,-0.7912164596395477
2013-01-08,0.541,2176:AL:SCAN,2,2,0.9080397812539782,0.1974203264411795,-0.24479422114949,-1.0207904925900215,-1.290147453849713
2013-01-22,-0.327,2176:AL:SCAN,4,4,0.4455473962615779,0.5275468160430788,-0.021715320799879333,-0.708702555728549,-0.8145321749748571
2013-01-29,-0.534,2176:AL:SCAN,5,5,-0.6124178016576833,-0.6397583526321786,-0.957958811315015,-1.3599152848949168,-1.3029420487152676
2013-02-05,-0.897,2176:AL:SCAN,6,6,0.38034134352800286,0.15948101572678933,-0.2015208396259886,-0.7209508935375496,-1.1817130974941334
2013-02-12,0.281,2176:AL:SCAN,7,7,0.7413046933846656,0.48382565385860676,-0.07385815252309479,-0.6713590729338151,-0.9929221066475583
2013-02-19,-0.54,2176:AL:SCAN,8,8,0.16588050831881399,-0.012134613607645974,-0.03272299954846884,-0.5130136096837675,-0.555948347922339
2013-02-26,-1.16,2176:AL:SCAN,9,9,1.368553036758952,0.6384463635867413,0.2407633544449434,-0.5113902143588651,-0.9608809533150406
2013-03-05,0.292,2176:AL:SCAN,10,10,0.12627522001974628,-0.22048115057844464,-0.5495174581174492,-0.9991752906628872,-1.1998947841487249
2013-03-12,1.352,2176:AL:SCAN,11,11,-0.3080090852666587,-1.0311552899936218,-1.1507386260897718,-1.2347419265647401,-1.2341851278931417
2013-03-19,-0.233,2176:AL:SCAN,12,12,0.9711463131396089,0.15024673561968602,-0.12483755678647102,-1.3790575971194272,-1.4011683587518073
2013-03-26,0.104,2176:AL:SCAN,13,13,0.7514605626714516,1.3259658407059083,1.0485231744138024,-0.9828379435402574,-1.4890725918248926
2013-04-02,0.65,2176:AL:SCAN,14,14,0.4304905260355292,0.24715822208951208,0.19485215535489597,-1.3368933894378219,-1.3801603281201513
2013-04-09,0.899,2176:AL:SCAN,15,15,0.7119334302868177,0.34584093974439845,0.18247236465796388,-1.1051190736260545,-0.8012130966588852
2013-04-16,0.545,2176:AL:SCAN,16,16,1.9302347957304524,1.1138654530558647,0.9014497007306583,0.10634695735657726,-0.15167309943532922
