,Date,ESI,station,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM,2in_pr,4in_pr,8in_pr,20in_pr,40in_pr,2inSMSDC,4inSMSDC,8inSMSDC,20inSMSDC,40inSMSDC
2930,2017-11-26,-0.169,2174:AL:SCAN,0.274476783249554,0.101978977485003,0.0947123053427851,-0.3281771053901315,0.3471558073629212,57.41773258992019,51.55215704177129,51.3675119034437,34.92349234923493,59.855974612474064,,,,,
2931,2017-12-03,-0.766,2174:AL:SCAN,0.3219745007493778,-0.0005532522508907,-0.073296346815833,-1.332842593231618,0.107479940962797,58.88269377938122,47.78589363159096,44.46905104639575,9.25967596759676,51.81252288538997,,,,2.0,
2932,2017-12-10,2.232,2174:AL:SCAN,0.7409791592905578,0.2497303873478701,-0.0380739077339011,-1.2590053382103383,-0.7654526336000173,75.32524324915273,56.425473636156134,45.853172406156574,10.283528352835283,23.471255950201392,,,,,0.0
2933,2017-12-17,0.187,2174:AL:SCAN,0.0824849810703316,-0.1258328204839227,-0.2040991198555091,-1.7375470608141537,-1.0294038703409674,50.59582376735542,43.50604884729513,39.65230871442808,4.039153915391539,14.98840473575003,,,,3.0,1.0
2934,2018-01-01,1.232,2174:AL:SCAN,-0.5912184464971503,-0.6684823003965098,-0.5659640352793723,-1.730076654594853,-0.4167742374848639,28.599540833060022,26.135585482766494,27.992470379802903,4.117911791179118,34.82240937385573,0.0,0.0,0.0,3.0,
2935,2018-01-08,0.876,2174:AL:SCAN,-1.6584565937022526,-1.6942366013013548,-1.4867058466870435,-1.5856593194231705,-0.6479948136741216,4.121569913632885,4.10865099292399,6.533052818071089,5.828082808280828,27.413645795191016,3.0,3.0,2.0,,0.0
2936,2018-01-15,0.249,2174:AL:SCAN,1.154006863727728,0.4355752601323258,-0.5193685987696323,-1.6538226792724688,-0.7859523566041594,89.7015414890128,63.296051129879025,29.431956593954155,5.006750675067507,22.78774563651898,,,0.0,,0.0
2937,2018-01-22,0.678,2174:AL:SCAN,-1.3264912073431523,-1.2155641403388693,-0.8256349633701584,-1.633660411610095,-1.230105774290783,9.041215699136329,10.762383017575896,20.484996124460192,5.333033303330334,10.167215916025876,2.0,,,,
2938,2018-01-29,-0.268,2174:AL:SCAN,0.6516187585742523,-0.1706910563921951,-0.3244183731057414,-1.7504754150020485,-1.140121293225419,71.65190772931015,42.04519516092217,35.47779869338943,3.904140414041404,12.18113023312584,,,,3.0,1.0
2939,2018-02-05,0.028,2174:AL:SCAN,0.5321686011600435,-0.0643948603913354,-0.3446540238001894,-1.395236556250971,-1.1469964229898324,66.79785722094675,45.83428440995206,34.82449341158233,8.303330333033303,12.034663737336752,,,,2.0,1.0
2940,2018-02-12,0.639,2174:AL:SCAN,1.4853438162203532,0.087586414088315,-0.1429553054395334,-1.6482682790105865,-1.1296097218565924,95.75817207827703,50.97009815110706,41.83368397741114,5.108010801080108,12.376418894177958,,,,,1.0
2941,2018-02-26,-0.79,2174:AL:SCAN,1.135656426615997,0.3317447572160146,-0.0579689695912885,-1.5227378654311678,-0.4321422605546871,89.19864436427244,59.3243551700525,44.978407706787735,6.514401440144015,34.34639326254119,,,,2.0,
2942,2018-03-05,-0.826,2174:AL:SCAN,0.6678008647713426,-0.0047639904481011,-0.6156768353902711,-1.4711493348800082,-0.944997421178728,72.37345577785067,47.60328692079434,26.608349020042077,7.1782178217821775,17.38069083363847,,,0.0,2.0,1.0
2943,2018-03-12,-0.534,2174:AL:SCAN,0.0528202362705815,-0.2946107661001818,-0.4797466910546462,-1.684629622639479,-1.0387009156710738,49.50256914835465,37.71969869892718,30.56139962351899,4.59045904590459,14.854143781276699,,,,3.0,1.0
2944,2018-03-19,0.948,2174:AL:SCAN,0.1416472047272319,-0.4829651439665253,-0.4748213972841414,-1.447715575467544,-1.2405053398969683,52.74953536678693,32.03606482538233,30.705348244934115,7.594509450945094,10.020749420236788,,,,2.0,
2945,2018-03-26,0.084,2174:AL:SCAN,-0.2266566841830694,-0.6426683890232452,-0.4679905494204578,-1.4585273542728778,-1.0201693915158816,40.33016289493823,26.797534809404244,30.98217251688628,7.391989198919892,15.244721103380934,,0.0,,2.0,1.0
2946,2018-04-02,-0.337,2174:AL:SCAN,-0.4532645817474351,-0.5975838237501613,-0.6287340130678196,-1.5410248804517404,-1.2995327715660123,32.9944244014431,28.12143346267975,26.154357214040523,6.278127812781278,8.824606371292566,,0.0,0.0,2.0,2.0
2947,2018-04-09,0.446,2174:AL:SCAN,0.2259911691943531,-0.1389404720342767,-0.0158718840956419,-0.8997370867688411,-0.7210967828949123,55.821580846179074,43.106596667427524,46.89403166869671,18.193069306930692,24.86268766019773,,,,1.0,0.0
